GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Garoopa,com.tf.politicas,CalculaCustoNormal,18,0,0,0,5,0,2,0,2,0
Garoopa,com.tf.politicas,CalculaCustoSimples,12,0,0,0,4,0,2,0,2,0
Garoopa,com.tf.politicas,CalculaCustoLuxo,25,0,0,0,6,0,2,0,2,0
Garoopa,com.tf.entidades.geometria,SituacaoReta,0,34,0,0,0,2,0,1,0,1
Garoopa,com.tf.entidades.geometria,Reta,39,15,0,0,2,6,2,3,2,3
Garoopa,com.tf.entidades.geometria,Ponto,16,15,0,0,1,3,1,3,1,3
Garoopa,com.tf.entidades.geometria,Area,272,103,39,29,52,17,28,13,5,2
Garoopa,com.tf.entidades,Cidade,20,0,0,0,7,0,3,0,3,0
Garoopa,com.tf.entidades,Roteiro,21,0,0,0,8,0,4,0,4,0
Garoopa,com.tf.entidades,Motorista.Pagamento,34,0,0,0,2,0,1,0,1,0
Garoopa,com.tf.entidades,Bairro,21,0,0,0,8,0,4,0,4,0
Garoopa,com.tf.entidades,VeiculoFactory,33,0,8,0,10,0,6,0,2,0
Garoopa,com.tf.entidades,Passageiro,27,0,0,0,10,0,5,0,5,0
Garoopa,com.tf.entidades,VeiculoNormal,18,0,0,0,6,0,6,0,6,0
Garoopa,com.tf.entidades,VeiculoLuxo,18,0,0,0,6,0,6,0,6,0
Garoopa,com.tf.entidades,VeiculoSimples,18,0,0,0,6,0,6,0,6,0
Garoopa,com.tf.entidades,Motorista,40,0,0,0,14,0,7,0,7,0
Garoopa,com.tf.entidades,Viagem,38,0,0,0,13,0,7,0,7,0
